VARIABLE_SURVEY_DATA,LIBRARY_SUPPORT
ACADEMIA,FALSE
KARMA,FALSE
MAILAUTH,FALSE
ALTMETRIC,TRUE
ARXIV,FALSE
AUTHOREA,FALSE
BENCHFLY,FALSE
BENCHLING,FALSE
BIORXIV,FALSE
BITBUCK,FALSE
BROWZINE,TRUE
CITAVI,FALSE
DATAJRNL,FALSE
DATAVERSE,FALSE
DEEPDYVE,FALSE
DHBOX,FALSE
ACCESSOTHCL,FALSE
DOAJ,FALSE
DRYAD,FALSE
ENDNOTE,TRUE
EXCEL,FALSE
F1000PRI,FALSE
F1000POS,FALSE
F1000RES,FALSE
FAMELAB,FALSE
FIGSDATA,FALSE
FIGSPOST,FALSE
GITHUB,FALSE
GTDRIVE,FALSE
GSCHOLALERT,TRUE
GSCHOLSEARCH,TRUE
SCHOLARCIT,FALSE
HARZPOP,FALSE
ACCESSSPECCL,FALSE
HYPOTHES,FALSE
WORKPAP,FALSE
IANNOTATE,FALSE
IMPSTOR,FALSE
INSTACC,TRUE
INREP,TRUE
IPYTHON,FALSE
JCRIFIMP,FALSE
JCRIFSEL,FALSE
JRNLTOCS,FALSE
JOURNALYS,FALSE
KUDOS,FALSE
LATEX,FALSE
MATLAB,FALSE
MEGAOA,FALSE
MEGATRAD,FALSE
MENDALERT,FALSE
MENDREAD,FALSE
MENDREF,FALSE
MENDSEARCH,FALSE
ANALYZOTHCL,FALSE
MYSCIWORK,FALSE
MYEXP,FALSE
OABUT,FALSE
OPSCIFRAM,FALSE
ORCID,TRUE
ANALYZSPECCL,FALSE
DATAOTHCL,FALSE
DATASPECCL,FALSE
POSTOTHCL,FALSE
POSTSPECCL,FALSE
SHAREPUBOTHCL,FALSE
SHAREPUBSPECCL,FALSE
ALERTOTH,FALSE
ALERTSPECCL,FALSE
IMPACTOTHCL,FALSE
IMPACTSPECCL,FALSE
PROTHCL,FALSE
PRSPECCL,FALSE
TELLOTHCL,FALSE
TELLSPECCL,FALSE
PUBLOTHCL,FALSE
PUBLSPECCL,FALSE
ACROBAT,FALSE
HTMLVIEW,FALSE
READOTHCL,FALSE
READSPECCL,FALSE
REFOTHCL,FALSE
REFSPECCL,FALSE
RESPROFOTHCL,FALSE
RESPROFSPECCL,FALSE
SEARCHSPECCL,FALSE
NOTEOTHCL,FALSE
NOTESPECCL,FALSE
JRNLOTHCL,FALSE
JRNLSPECCL,FALSE
WORD,FALSE
WRITEOTHCL,FALSE
WRITESPECCL,FALSE
OVERLEAF,FALSE
PANGAEA,FALSE
PAPARCRIT,FALSE
PAPERI,FALSE
PAPERS,FALSE
PAYVIEW,FALSE
PERRSCI,FALSE
PINTSCI,FALSE
PLOSALM,FALSE
INSTPAGE,FALSE
PROTOCONL,FALSE
PROTOCIO,FALSE
PUBLONS,FALSE
PUBMED,FALSE
PMC,FALSE
PMCCOMMONS,FALSE
PUBPEER,FALSE
QOAM,FALSE
RTOOL,FALSE
ROPENSCI,FALSE
READCUBE,FALSE
REFME,FALSE
REFWORKS,FALSE
RGATESHAREPUB,FALSE
RES4LIFE,FALSE
RESBLOG,FALSE
RESID,FALSE
RGATEACCESS,FALSE
RGATESHAREPUB,FALSE
RGATEPROF,FALSE
RUBRIQ,FALSE
SCALAR,FALSE
SCIOPPO,FALSE
SCIPROT,FALSE
SCIMAGO,FALSE
SCOPID,FALSE
SCOPSEARCH,TRUE
SCOPSEL,TRUE
SCRIVEN,FALSE
SHERPAROM,FALSE
SLIDSHA,FALSE
SPARRHO,FALSE
SPEAKER,FALSE
SPSS,FALSE
SSRN,FALSE
JTOPOA,FALSE
JTOPTRAD,FALSE
TWITTER,FALSE
UTOPDOCS,FALSE
VIMEO,FALSE
WOSIMP,FALSE
WOSSEARCH,TRUE
WIKIPEDIA,FALSE
WINNOWER,FALSE
WORDPRESS,FALSE
WORLDCAT,TRUE
ZENODATA,FALSE
ZENOPOST,FALSE
ZOTERO,FALSE
