"RESEARCH_ACTIVITY_NUMBER","RESEARCH_ACTIVITY_LABEL","RESEARCH_PHASE_KEY","RESEARCH_PHASE_VALUE"
1,"crowdsource/define research priorities/ideas/collaborations","ACTIVEPRE","Preparation"
2,"fund / get contract","ACTIVEPRE","Preparation"
3,"search (lit/data/patents/code)","ACTIVEDIS","Discovery"
4,"get access","ACTIVEDIS","Discovery"
5,"get alerts/recommendations","ACTIVEDIS","Discovery"
6,"reference management","ACTIVEDIS","Discovery"
7,"read","ACTIVEDIS","Discovery"
8,"annotate/tag (during/after reading)","ACTIVEDIS","Discovery"
9,"experiment & collect/mine/extract data","ACTIVEANA","Analysis"
10,"share notebooks / protocols / workflows","ACTIVEANA","Analysis"
11,"analyze","ACTIVEANA","Analysis"
12,"visualize","ACTIVEWRI","Writing"
13,"write (+ code)","ACTIVEWRI","Writing"
14,"cite","ACTIVEWRI","Writing"
15,"translate","ACTIVEWRI","Writing"
16,"archive/share code","ACTIVEPUB","Publishing"
17,"archive/share data","ACTIVEPUB","Publishing"
18,"archive/share publication","ACTIVEPUB","Publishing"
19,"archive/share posters","ACTIVEPUB","Publishing"
20,"archive/share presentation","ACTIVEPUB","Publishing"
21,"present research findings","ACTIVEPUB","Publishing"
22,"peer review and commenting/recommending (pre-pub)","ACTIVEPUB","Publishing"
23,"select journal to submit to","ACTIVEPUB","Publishing"
24,"publish","ACTIVEPUB","Publishing"
25,"outreach/valorization","ACTIVEOUT","Outreach"
26,"researcher profiling (& social network)","ACTIVEOUT","Outreach"
27,"comment","ACTIVEASS","Assessment"
28,"peer review (post-pub)","ACTIVEASS","Assessment"
29,"measure impact (of output, e.g. article)","ACTIVEASS","Assessment"
30,"assessment (of researcher/research group)","ACTIVEASS","Assessment"
