Variable name;G.E.O.CATEGORY
tool_profile_academia;O
tool_review_ak;E
tool_access_author;#N/B
tool_impact_altmet;G
tool_archpub_arxiv;O
tool_write_authorea;O
tool_share_benchfly;O/E
tool_share_benchling;O/E
tool_archpub_biorxiv;O
tool_archcode_bitbucket;E
tool_alert_browzine;E
tool_ref_citavi;E
tool_pub_dataj;O
tool_archcode_dataverse;O
tool_access_deepdyve;E
tool_analysis_dhbox;E
tool_access_other;#N/B
tool_submit_doaj;O
tool_archcode_dryad;O
tool_ref_endnote;E
tool_analysis_excel;#N/B
tool_alert_f1000;E
tool_archpres_f1000;O
tool_pub_f1000;O
tool_pop_famelab;O
tool_archcode_figshare;O
tool_archpres_figshare;O
tool_archcode_github;O
tool_write_gdocs;E
tool_alert_gs;E
tool_search_gs;E
tool_profile_gsc;E
tool_impact_hpop;#N/B
tool_access_other_orig;#N/B
tool_read_hypothesis;O
tool_archpub_isharewp;#N/B
tool_read_iannotate;#N/B
tool_impact_is;G
tool_access_institutional;#N/B
tool_archpub_institrepo;#N/B
tool_analysis_ipython;E
tool_impact_jcr;E
tool_submit_jcr;E
tool_alert_toc;E
tool_submit_journalysis;E
tool_pop_kudos;O/E
tool_write_latex;E
tool_analysis_matlab;#N/B
tool_pub_megaoa;#N/B
tool_pub_megatrad;#N/B
tool_alert_mendeley;E/O
tool_read_mendeley;E/O
tool_ref_mendeley;E/O
tool_search_mendeley;E/O
tool_analysis_other;#N/B
tool_profile_msw;O
tool_share_myexp;O
tool_access_oabutton;O
tool_share_osf;G
tool_profile_orcid;E
tool_analysis_other_orig;#N/B
tool_archcode_other;#N/B
tool_archcode_other_orig;#N/B
tool_archpres_other;#N/B
tool_archpres_other_orig;#N/B
tool_archpub_other;#N/B
tool_archpub_other_orig;#N/B
tool_alert_other;#N/B
tool_alert_other_orig;#N/B
tool_impact_other;#N/B
tool_impact_other_orig;#N/B
tool_review_other;#N/B
tool_review_other_orig;#N/B
tool_pop_other;#N/B
tool_pop_other_orig;#N/B
tool_pub_other;#N/B
tool_pub_other_orig;#N/B
tool_read_acro;#N/B
tool_read_html;#N/B
tool_read_other;#N/B
tool_read_other_orig;#N/B
tool_ref_other;#N/B
tool_ref_other_orig;#N/B
tool_profile_other;#N/B
tool_profile_other_orig;#N/B
tool_search_other_orig;#N/B
tool_share_other;#N/B
tool_share_other_orig;#N/B
tool_submit_other;#N/B
tool_submit_other_orig;#N/B
tool_write_word;#N/B
tool_write_other;#N/B
tool_write_other_orig;#N/B
tool_write_overleaf;O
tool_archcode_pangaea;O
tool_review_papercritic;O/G
tool_search_paperity;O
tool_ref_papers;#N/B
tool_access_ppv;#N/B
tool_review_pos;G
tool_pop_pos;O
tool_impact_plos;O/G
tool_profile_instit;#N/B
tool_share_protocolonline;O/E
tool_share_protocolsio;O
tool_review_publons;G
tool_search_pubmed;E
tool_archpub_pubmed;O
tool_review_pubmed;G
tool_review_pubpeer;G
tool_submit_qoam;E
tool_analysis_r;#N/B
tool_analysis_ropen;E
tool_read_readcube;E
tool_ref_refme;E
tool_ref_refworks;E
tool_alert_resgate;O
tool_access_res4life;O
tool_pop_resblog;E
tool_profile_resid;E
tool_access_resgate;O
tool_archpub_resgate;O
tool_profile_resgate;O
tool_review_rubriq;G
tool_write_scalar;E/O
tool_archpres_sop;O
tool_share_scipro;O
tool_submit_sci;E
tool_impact_scopus;E
tool_search_scopus;E
tool_submit_scopus;E
tool_write_scrivener;E
tool_submit_sherpa;O
tool_archpres_slideshare;O
tool_alert_sparrho;E
tool_archpres_speakerdeck;O
tool_analysis_spss;#N/B
tool_archpub_ssrn;O
tool_pub_topicoa;#N/B
tool_pub_topictrad;#N/B
tool_pop_twit;#N/B
tool_read_utopia;E
tool_archpres_vimeo;#N/B
tool_impact_wos;E
tool_search_wos;E
tool_pop_wiki;O
tool_pub_winnower;#N/B
tool_pop_wordpress;#N/B
tool_search_worldcat;E
tool_archcode_zenodo;O
tool_archpres_zenodo;O
tool_ref_zotero;E/O
